,ticker,name,sectors,industry
39,ADVANIHOTR,Advani Hotels & Resorts (India) Limited,Consumer Cyclical,Lodging
40,ADVENZYMES,Advanced Enzyme Technologies Limited,Basic Materials,Specialty Chemicals
41,AEGISCHEM,Aegis Logistics Limited,Energy,Oil & Gas Refining & Marketing
42,AETHER,Aether Industries Limited,Basic Materials,Specialty Chemicals
43,AFFLE,Affle (India) Limited,Communication Services,Advertising Agencies
44,AGARIND,Agarwal Industrial Corporation Limited,Basic Materials,Specialty Chemicals
45,AGI,AGI Greenpac Limited,Consumer Cyclical,Packaging & Containers
46,AGRITECH,Agri-tech (India) Limited,Consumer Defensive,Farm Products
47,AGROPHOS,Agro Phos (India) Limited,Basic Materials,Agricultural Inputs
48,AGSTRA,AGS Transact Technologies Limited,Technology,Software—Infrastructure
49,AHLADA,Ahlada Engineers Limited,Industrials,Building Products & Equipment
50,AHLEAST,Asian Hotels (East) Limited,Consumer Cyclical,Lodging
51,AHLUCONT,Ahluwalia Contracts (India) Limited,Industrials,Engineering & Construction
52,AIAENG,AIA Engineering Limited,Industrials,Specialty Industrial Machinery
53,AIRAN,Airan Limited,Technology,Information Technology Services
54,AIROLAM,Airo Lam Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
55,AJANTPHARM,Ajanta Pharma Limited,Healthcare,Drug Manufacturers—Specialty & Generic
56,AJMERA,Ajmera Realty & Infra India Limited,Real Estate,Real Estate—Development
57,AJOONI,Ajooni Biotech Limited,Consumer Defensive,Packaged Foods
58,AJRINFRA,AJR Infra and Tolling Limited,Industrials,Infrastructure Operations
59,AKASH,Akash Infra-Projects Limited,Industrials,Engineering & Construction
60,AKG,AKG Exim Limited,Consumer Defensive,Packaged Foods
61,AKSHAR,Akshar Spintex Limited,Consumer Cyclical,Textile Manufacturing
62,AKSHARCHEM,AksharChem (India) Limited,Basic Materials,Specialty Chemicals
63,AKSHOPTFBR,Aksh Optifibre Limited,Technology,Communication Equipment
64,AKZOINDIA,Akzo Nobel India Limited,Basic Materials,Specialty Chemicals
65,ALANKIT,Alankit Limited,Technology,Information Technology Services
66,ALBERTDAVD,Albert David Limited,Healthcare,Drug Manufacturers—Specialty & Generic
67,ALEMBICLTD,Alembic Limited,Healthcare,Drug Manufacturers—Specialty & Generic
68,ALICON,Alicon Castalloy Limited,Industrials,Metal Fabrication
69,ALKALI,Alkali Metals Limited,Basic Materials,Specialty Chemicals
70,ALKEM,Alkem Laboratories Limited,Healthcare,Drug Manufacturers—Specialty & Generic
71,ALKYLAMINE,Alkyl Amines Chemicals Limited,Basic Materials,Specialty Chemicals
