,ticker,name,sectors,industry
353,CSBBANK,CSB Bank Limited,Financial Services,Banks—Regional
354,CSLFINANCE,CSL Finance Limited,Financial Services,Credit Services
355,CTE,Cambridge Technology Enterprises Limited,Technology,Information Technology Services
356,CUB,City Union Bank Limited,Financial Services,Banks—Regional
357,CUBEXTUB,Cubex Tubings Limited,Basic Materials,Copper
358,CUMMINSIND,Cummins India Limited,Industrials,Specialty Industrial Machinery
359,CUPID,Cupid Limited,Consumer Defensive,Household & Personal Products
360,CYBERMEDIA,Cyber Media (India) Limited,Communication Services,Publishing
361,CYBERTECH,CyberTech Systems and Software Limited,Technology,Information Technology Services
362,CYIENT,Cyient Limited,Industrials,Conglomerates
363,DAAWAT,LT Foods Limited,Consumer Defensive,Packaged Foods
364,DABUR,Dabur India Limited,Consumer Defensive,Household & Personal Products
365,DALBHARAT,Dalmia Bharat Limited,Basic Materials,Building Materials
366,DALMIASUG,Dalmia Bharat Sugar and Industries Limited,Consumer Defensive,Confectioners
367,DAMODARIND,Damodar Industries Limited,Consumer Cyclical,Textile Manufacturing
368,DANGEE,Dangee Dums Limited,Consumer Cyclical,Restaurants
369,DATAMATICS,Datamatics Global Services Limited,Technology,Information Technology Services
370,DATAPATTNS,Data Patterns (India) Limited,Industrials,Aerospace & Defense
371,DBCORP,D. B. Corp Limited,Communication Services,Publishing
372,DBL,Dilip Buildcon Limited,Industrials,Engineering & Construction
373,DBREALTY,D B Realty Limited,Real Estate,Real Estate—Development
374,DBSTOCKBRO,DB (International) Stock Brokers Limited,Financial Services,Capital Markets
375,DCAL,Dishman Carbogen Amcis Limited,Healthcare,Biotechnology
376,DCBBANK,DCB Bank Limited,Financial Services,Banks—Regional
377,DCM,DCM Limited,Industrials,Metal Fabrication
378,DCMFINSERV,DCM Financial Services Limited,Financial Services,Credit Services
379,DCMNVL,DCM Nouvelle Limited,Consumer Cyclical,Textile Manufacturing
380,DCMSHRIRAM,DCM Shriram Limited,Basic Materials,Specialty Chemicals
381,DCMSRIND,N/A,N/A,N/A
382,DCW,DCW Limited,Basic Materials,Chemicals
383,DECCANCE,Deccan Cements Limited,Basic Materials,Building Materials
384,DEEPAKFERT,Deepak Fertilisers And Petrochemicals Corporation Limited,Basic Materials,Chemicals
385,DEEPAKNTR,Deepak Nitrite Limited,Basic Materials,Chemicals
386,DEEPENR,Deep Energy Resources Limited,Energy,Oil & Gas Equipment & Services
387,DEEPINDS,Deep Industries Limited,Energy,Oil & Gas E&P
388,DELHIVERY,Delhivery Limited,Industrials,Integrated Freight & Logistics
389,DELPHIFX,Delphi World Money Limited,Financial Services,Capital Markets
390,DELTACORP,Delta Corp Limited,Consumer Cyclical,Resorts & Casinos
391,DELTAMAGNT,Delta Manufacturing Limited,Industrials,Specialty Industrial Machinery
392,DEN,DEN Networks Limited,Communication Services,Entertainment
393,DENORA,De Nora India Limited,Industrials,Electrical Equipment & Parts
394,DEVIT,Dev Information Technology Limited,Technology,Information Technology Services
395,DEVYANI,Devyani International Limited,Consumer Cyclical,Restaurants
396,DFMFOODS,DFM Foods Limited,Consumer Defensive,Packaged Foods
397,DGCONTENT,Digicontent Limited,Communication Services,Internet Content & Information
398,DHAMPURSUG,Dhampur Sugar Mills Limited,Consumer Defensive,Confectioners
399,DHANBANK,Dhanlaxmi Bank Limited,Financial Services,Banks—Regional
400,DHANI,Dhani Services Limited,Financial Services,Capital Markets
401,DHANUKA,Dhanuka Agritech Limited,Basic Materials,Agricultural Inputs
402,DHARAMSI,The Dharamsi Morarji Chemical Company Limited,Basic Materials,Chemicals
403,DHARSUGAR,Dharani Sugars and Chemicals Limited,Consumer Defensive,Confectioners
404,DHRUV,Dhruv Consultancy Services Limited,Industrials,Engineering & Construction
405,DHUNINV,Dhunseri Investments Limited,Financial Services,Capital Markets
406,DIAMONDYD,Prataap Snacks Limited,Consumer Defensive,Packaged Foods
407,DICIND,DIC India Limited,Basic Materials,Specialty Chemicals
408,DIGISPICE,DiGiSPICE Technologies Limited,Technology,Information Technology Services
409,DIGJAMLMTD,Digjam Limited,,
410,DIL,Debock Industries Limited,Industrials,Farm & Heavy Construction Machinery
411,DISHTV,Dish TV India Limited,Communication Services,Entertainment
412,DIVISLAB,Divi's Laboratories Limited,Healthcare,Drug Manufacturers—Specialty & Generic
413,DIXON,Dixon Technologies (India) Limited,Technology,Consumer Electronics
414,DLF,DLF Limited,Real Estate,Real Estate—Development
415,DLINKINDIA,D-Link (India) Limited,Technology,Communication Equipment
416,DMART,Avenue Supermarts Limited,Consumer Defensive,Discount Stores
417,DNAMEDIA,Diligent Media Corporation Limited,Communication Services,Publishing
418,DODLA,Dodla Dairy Limited,Consumer Defensive,Food Distribution
419,DOLATALGO,Dolat Algotech Limited,Financial Services,Capital Markets
420,DOLLAR,Dollar Industries Limited,Consumer Cyclical,Apparel Manufacturing
421,DONEAR,Donear Industries Limited,Consumer Cyclical,Textile Manufacturing
422,DPABHUSHAN,D. P. Abhushan Limited,Consumer Cyclical,Luxury Goods
423,DPSCLTD,India Power Corporation Limited,Utilities,Utilities—Regulated Electric
424,DPWIRES,D.P. Wires Limited,Industrials,Metal Fabrication
425,DRCSYSTEMS,DRC Systems India Limited,Technology,Information Technology Services
426,DREDGECORP,Dredging Corporation of India Limited,Industrials,Engineering & Construction
427,DRREDDY,Dr. Reddy's Laboratories Limited,Healthcare,Drug Manufacturers—Specialty & Generic
428,DSSL,Dynacons Systems & Solutions Limited,Technology,Information Technology Services
429,DTIL,Dhunseri Tea & Industries Limited,Consumer Defensive,Packaged Foods
430,DUCON,Ducon Infratechnolgies Limited,Industrials,Specialty Industrial Machinery
431,DVL,Dhunseri Ventures Limited,Financial Services,Capital Markets
432,DWARKESH,Dwarikesh Sugar Industries Limited,Consumer Defensive,Confectioners
433,DYCL,Dynamic Cables Limited,Industrials,Electrical Equipment & Parts
434,DYNAMATECH,Dynamatic Technologies Limited,Consumer Cyclical,Auto Parts
435,DYNPRO,Dynemic Products Limited,Basic Materials,Specialty Chemicals
436,E2E,E2E Networks Limited,Technology,Software—Infrastructure
437,EASEMYTRIP,Easy Trip Planners Limited,Consumer Cyclical,Travel Services
438,EASTSILK,Eastern Silk Industries Limited,Consumer Cyclical,Textile Manufacturing
439,EASUNREYRL,Easun Reyrolle Limited,Industrials,Specialty Industrial Machinery
440,ECLERX,eClerx Services Limited,Technology,Information Technology Services
441,EDELWEISS,Edelweiss Financial Services Limited,Financial Services,Capital Markets
442,EDUCOMP,Educomp Solutions Limited,Consumer Defensive,Education & Training Services
443,EICHERMOT,Eicher Motors Limited,Consumer Cyclical,Auto Manufacturers
444,EIDPARRY,E.I.D.- Parry (India) Limited,Consumer Defensive,Confectioners
445,EIFFL,Euro India Fresh Foods Limited,Consumer Defensive,Packaged Foods
446,EIHAHOTELS,EIH Associated Hotels Limited,Consumer Cyclical,Lodging
447,EIHOTEL,EIH Limited,Consumer Cyclical,Lodging
448,EIMCOELECO,Eimco Elecon (India) Limited,Industrials,Farm & Heavy Construction Machinery
449,EKC,Everest Kanto Cylinder Limited,Industrials,Specialty Industrial Machinery
450,ELDEHSG,Eldeco Housing and Industries Limited,Real Estate,Real Estate Services
451,ELECON,Elecon Engineering Company Limited,Industrials,Specialty Industrial Machinery
452,ELECTCAST,Electrosteel Castings Limited,Basic Materials,Steel
453,ELECTHERM,Electrotherm (India) Limited,Industrials,Metal Fabrication
454,ELGIEQUIP,Elgi Equipments Limited,Industrials,Specialty Industrial Machinery
455,ELGIRUBCO,Elgi Rubber Company Limited,Consumer Cyclical,Auto Parts
456,EMAMILTD,Emami Limited,Consumer Defensive,Household & Personal Products
457,EMAMIPAP,Emami Paper Mills Limited,,
458,EMAMIREAL,Emami Realty Limited,Real Estate,Real Estate—Development
459,EMKAY,Emkay Global Financial Services Limited,Financial Services,Capital Markets
460,EMMBI,Emmbi Industries Limited,Consumer Cyclical,Packaging & Containers
461,EMUDHRA,eMudhra Limited,Technology,Software—Application
462,ENDURANCE,Endurance Technologies Limited,Consumer Cyclical,Auto Parts
463,ENERGYDEV,Energy Development Company Limited,Utilities,Utilities—Regulated Electric
464,ENGINERSIN,Engineers India Limited,Industrials,Engineering & Construction
465,ENIL,Entertainment Network (India) Limited,Communication Services,Broadcasting
466,EPL,EPL Limited,Consumer Cyclical,Packaging & Containers
467,EQUITAS,Equitas Holdings Limited,Financial Services,Credit Services
468,EQUITASBNK,Equitas Small Finance Bank Limited,Financial Services,Banks—Regional
469,ERIS,Eris Lifesciences Limited,Healthcare,Drug Manufacturers—Specialty & Generic
470,EROSMEDIA,Eros International Media Limited,Communication Services,Entertainment
471,ESABINDIA,ESAB India Limited,Industrials,Tools & Accessories
472,ESCORTS,Escorts Kubota Limited,Industrials,Farm & Heavy Construction Machinery
473,ESSARSHPNG,Essar Shipping Limited,Industrials,Marine Shipping
474,ESSENTIA,Integra Essentia Limited,Consumer Cyclical,Apparel Manufacturing
475,ESTER,Ester Industries Limited,Basic Materials,Specialty Chemicals
476,ETHOSLTD,Ethos Limited,Consumer Cyclical,Luxury Goods
477,EUROTEXIND,Eurotex Industries and Exports Limited,Consumer Cyclical,Textile Manufacturing
478,EVEREADY,Eveready Industries India Limited,Industrials,Electrical Equipment & Parts
479,EVERESTIND,Everest Industries Limited,Industrials,Building Products & Equipment
480,EXCEL,Excel Realty N Infra Limited,Industrials,Conglomerates
481,EXCELINDUS,Excel Industries Limited,Basic Materials,Specialty Chemicals
482,EXIDEIND,Exide Industries Limited,Consumer Cyclical,Auto Parts
483,EXPLEOSOL,Expleo Solutions Limited,Technology,Information Technology Services
484,EXXARO,Exxaro Tiles Limited,Industrials,Building Products & Equipment
485,FACT,The Fertilisers And Chemicals Travancore Limited,Basic Materials,Agricultural Inputs
486,FAIRCHEMOR,Fairchem Organics Limited,Basic Materials,Specialty Chemicals
487,FCL,Fineotex Chemical Limited,Basic Materials,Specialty Chemicals
488,FCONSUMER,Future Consumer Limited,Consumer Defensive,Food Distribution
489,FCSSOFT,FCS Software Solutions Limited,Technology,Information Technology Services
490,FDC,FDC Limited,Healthcare,Drug Manufacturers—Specialty & Generic
491,FEDERALBNK,The Federal Bank Limited,Financial Services,Banks—Regional
492,FEL,Future Enterprises Limited,Consumer Cyclical,Department Stores
493,FELDVR,Future Enterprises Limited,Consumer Cyclical,Department Stores
494,FIBERWEB,Fiberweb (India) Limited,Consumer Cyclical,Textile Manufacturing
495,FIEMIND,Fiem Industries Limited,Consumer Cyclical,Auto Parts
496,FILATEX,Filatex India Limited,Consumer Cyclical,Textile Manufacturing
497,FINCABLES,Finolex Cables Limited,Industrials,Electrical Equipment & Parts
498,FINEORG,Fine Organic Industries Limited,Basic Materials,Specialty Chemicals
499,FINOPB,Fino Payments Bank Limited,Financial Services,Banks—Regional
500,FINPIPE,Finolex Industries Limited,Industrials,Building Products & Equipment
501,FLEXITUFF,Flexituff Ventures International Limited,Consumer Cyclical,Textile Manufacturing
502,FLFL,Future Lifestyle Fashions Limited,Consumer Cyclical,Apparel Manufacturing
503,FLUOROCHEM,Gujarat Fluorochemicals Limited,Basic Materials,Chemicals
504,FMGOETZE,Federal-Mogul Goetze (India) Limited,Consumer Cyclical,Auto Parts
505,FMNL,Future Market Networks Limited,Real Estate,Real Estate Services
506,FOCUS,Focus Lighting and Fixtures Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
507,FOODSIN,N/A,N/A,N/A
508,FORCEMOT,Force Motors Limited,Consumer Cyclical,Auto Manufacturers
509,FORTIS,Fortis Healthcare Limited,Healthcare,Medical Care Facilities
510,FOSECOIND,Foseco India Limited,Basic Materials,Chemicals
511,FRETAIL,Future Retail Limited,Consumer Cyclical,Department Stores
512,FSC,Future Supply Chain Solutions Limited,Industrials,Integrated Freight & Logistics
513,FSL,Firstsource Solutions Limited,Technology,Information Technology Services
514,GABRIEL,Gabriel India Limited,Consumer Cyclical,Auto Parts
515,GAEL,Gujarat Ambuja Exports Limited,Consumer Defensive,Packaged Foods
516,GAIL,GAIL (India) Limited,Utilities,Utilities—Regulated Gas
517,GAL,Gyscoal Alloys Limited,Basic Materials,Steel
518,GALAXYSURF,Galaxy Surfactants Limited,Basic Materials,Specialty Chemicals
519,GALLANTT,Gallantt Metal Limited,Basic Materials,Steel
520,GANDHITUBE,Gandhi Special Tubes Limited,Industrials,Metal Fabrication
521,GANECOS,Ganesha Ecosphere Limited,Consumer Cyclical,Textile Manufacturing
522,GANESHBE,Ganesh Benzoplast Limited,Basic Materials,Specialty Chemicals
523,GANESHHOUC,Ganesh Housing Corporation Limited,Real Estate,Real Estate—Development
524,GANGAFORGE,Ganga Forging Limited,Industrials,Metal Fabrication
525,GANGESSECU,Ganges Securities Limited,Consumer Defensive,Packaged Foods
526,GARFIBRES,Garware Technical Fibres Limited,Consumer Cyclical,Textile Manufacturing
527,GATEWAY,Gateway Distriparks Limited,Industrials,Integrated Freight & Logistics
528,GATI,Gati Limited,Industrials,Integrated Freight & Logistics
529,GAYAHWS,Gayatri Highways Limited,Industrials,Infrastructure Operations
530,GAYAPROJ,Gayatri Projects Limited,Industrials,Engineering & Construction
531,GEECEE,GeeCee Ventures Limited,Real Estate,Real Estate—Development
532,GEEKAYWIRE,Geekay Wires Limited,Industrials,Electrical Equipment & Parts
533,GENCON,Generic Engineering Construction and Projects Limited,Industrials,Engineering & Construction
534,GENESYS,Genesys International Corporation Limited,Technology,Software—Application
535,GENUSPAPER,Genus Paper & Boards Limited,Basic Materials,Paper & Paper Products
536,GENUSPOWER,Genus Power Infrastructures Limited,Industrials,Electrical Equipment & Parts
537,GEOJITFSL,Geojit Financial Services Limited,Financial Services,Capital Markets
538,GEPIL,GE Power India Limited,Industrials,Engineering & Construction
539,GESHIP,The Great Eastern Shipping Company Limited,Industrials,Marine Shipping
540,GET&D,GE T&D India Limited,Industrials,Specialty Industrial Machinery
541,GFLLIMITED,GFL Limited,Communication Services,Entertainment
542,GFSTEELS,Grand Foundry Limited,Basic Materials,Steel
543,GHCL,GHCL Limited,Basic Materials,Chemicals
544,GICHSGFIN,GIC Housing Finance Limited,Financial Services,Mortgage Finance
545,GICRE,General Insurance Corporation of India,Financial Services,Insurance—Reinsurance
546,GILLANDERS,Gillanders Arbuthnot and Company Limited,Industrials,Conglomerates
547,GILLETTE,Gillette India Limited,Consumer Defensive,Household & Personal Products
548,GINNIFILA,Ginni Filaments Limited,Consumer Cyclical,Textile Manufacturing
549,GIPCL,Gujarat Industries Power Company Limited,Utilities,Utilities—Regulated Electric
550,GKWLIMITED,GKW Limited,Industrials,Specialty Business Services
551,GLAND,Gland Pharma Limited,Healthcare,Drug Manufacturers—General
552,GLAXO,GlaxoSmithKline Pharmaceuticals Limited,Healthcare,Drug Manufacturers—General
553,GLENMARK,Glenmark Pharmaceuticals Limited,Healthcare,Drug Manufacturers—Specialty & Generic
554,GLFL,Gujarat Lease Financing Limited,Financial Services,Shell Companies
555,GLOBAL,Global Education Limited,Consumer Defensive,Education & Training Services
556,GLOBALVECT,Global Vectra Helicorp Limited,Industrials,Airports & Air Services
557,GLOBE,Globe Textiles (India) Limited,Consumer Cyclical,Textile Manufacturing
558,GLOBUSSPR,Globus Spirits Limited,Consumer Defensive,Beverages—Wineries & Distilleries
559,GLS,Glenmark Life Sciences Limited,Healthcare,Drug Manufacturers—Specialty & Generic
560,GMBREW,G.M. Breweries Limited,Consumer Defensive,Beverages—Wineries & Distilleries
561,GMDCLTD,Gujarat Mineral Development Corporation Limited,Energy,Thermal Coal
562,GMMPFAUDLR,GMM Pfaudler Limited,Industrials,Specialty Industrial Machinery
563,GMRINFRA,GMR Infrastructure Limited,Industrials,Airports & Air Services
564,GMRP&UI,GMR Power And Urban Infra Limited,Industrials,Infrastructure Operations
565,GNA,G N A Axles Limited,Consumer Cyclical,Auto Parts
566,GNFC,Gujarat Narmada Valley Fertilizers & Chemicals Limited,Basic Materials,Chemicals
567,GOACARBON,Goa Carbon Limited,Basic Materials,Specialty Chemicals
568,GOCLCORP,GOCL Corporation Limited,Basic Materials,Specialty Chemicals
569,GOCOLORS,Go Fashion (India) Limited,Consumer Cyclical,Apparel Manufacturing
570,GODFRYPHLP,Godfrey Phillips India Limited,Consumer Defensive,Tobacco
571,GODHA,Godha Cabcon & Insulation Limited,Industrials,Electrical Equipment & Parts
572,GODREJAGRO,Godrej Agrovet Limited,Consumer Defensive,Farm Products
573,GODREJCP,Godrej Consumer Products Limited,Consumer Defensive,Household & Personal Products
574,GODREJIND,Godrej Industries Limited,Industrials,Conglomerates
575,GODREJPROP,Godrej Properties Limited,Real Estate,Real Estate—Development
576,GOENKA,Goenka Diamond and Jewels Limited,Consumer Cyclical,Luxury Goods
577,GOKEX,Gokaldas Exports Limited,Consumer Cyclical,Apparel Manufacturing
578,GOKUL,Gokul Refoils & Solvent Limited,Consumer Defensive,Packaged Foods
579,GOKULAGRO,Gokul Agro Resources Limited,Consumer Defensive,Packaged Foods
580,GOLDENTOBC,Golden Tobacco Limited,Consumer Defensive,Tobacco
581,GOLDIAM,Goldiam International Limited,Consumer Cyclical,Luxury Goods
582,GOLDTECH,Goldstone Technologies Limited,Technology,Information Technology Services
583,GOODLUCK,Goodluck India Limited,Basic Materials,Steel
584,GOODYEAR,Goodyear India Limited,Consumer Cyclical,Auto Parts
585,GPIL,Godawari Power & Ispat Limited,Basic Materials,Steel
586,GPPL,Gujarat Pipavav Port Limited,Industrials,Marine Shipping
587,GPTINFRA,GPT Infraprojects Limited,Industrials,Engineering & Construction
588,GRANULES,Granules India Limited,Healthcare,Drug Manufacturers—Specialty & Generic
589,GRAPHITE,Graphite India Limited,Industrials,Electrical Equipment & Parts
590,GRASIM,Grasim Industries Limited,Basic Materials,Building Materials
591,GRAUWEIL,Grauer & Weil (India) Limited,Basic Materials,Specialty Chemicals
592,GRAVITA,Gravita India Limited,Industrials,Metal Fabrication
593,GREAVESCOT,Greaves Cotton Limited,Industrials,Specialty Industrial Machinery
594,GREENLAM,Greenlam Industries Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
595,GREENPANEL,Greenpanel Industries Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
596,GREENPLY,Greenply Industries Limited,Basic Materials,Lumber & Wood Production
597,GREENPOWER,Orient Green Power Company Limited,Utilities,Utilities—Independent Power Producers
598,GRINDWELL,Grindwell Norton Limited,Industrials,Building Products & Equipment
599,GRINFRA,G R Infraprojects Limited,Industrials,Engineering & Construction
600,GROBTEA,The Grob Tea Company Limited,Consumer Defensive,Farm Products
601,GRPLTD,GRP Limited,Consumer Cyclical,Auto Parts
602,GRSE,Garden Reach Shipbuilders & Engineers Limited,Industrials,Aerospace & Defense
603,GRWRHITECH,Garware Hi-Tech Films Limited,Basic Materials,Specialty Chemicals
604,GSCLCEMENT,Gujarat Sidhee Cement Limited,Basic Materials,Building Materials
605,GSFC,Gujarat State Fertilizers & Chemicals Limited,Basic Materials,Agricultural Inputs
606,GSPL,Gujarat State Petronet Limited,Utilities,Utilities—Regulated Gas
607,GSS,GSS Infotech Limited,Technology,Information Technology Services
608,GTL,GTL Limited,Communication Services,Telecom Services
609,GTLINFRA,GTL Infrastructure Limited,Technology,Communication Equipment
610,GTPL,GTPL Hathway Limited,Communication Services,Entertainment
611,GUFICBIO,Gufic Biosciences Limited,Healthcare,Drug Manufacturers—Specialty & Generic
612,GUJALKALI,Gujarat Alkalies and Chemicals Limited,Basic Materials,Chemicals
613,GUJAPOLLO,Gujarat Apollo Industries Limited,Industrials,Specialty Industrial Machinery
614,GUJGASLTD,Gujarat Gas Limited,Utilities,Utilities—Regulated Gas
615,GUJRAFFIA,Gujarat Raffia Industries Limited,,
616,GULFOILLUB,Gulf Oil Lubricants India Limited,Basic Materials,Specialty Chemicals
617,GULFPETRO,GP Petroleums Limited,Energy,Oil & Gas Refining & Marketing
618,GULPOLY,Gulshan Polyols Limited,Basic Materials,Chemicals
619,GVKPIL,GVK Power & Infrastructure Limited,Industrials,Airports & Air Services
620,HAL,Hindustan Aeronautics Limited,Industrials,Aerospace & Defense
621,HAPPSTMNDS,Happiest Minds Technologies Limited,Technology,Information Technology Services
622,HARDWYN,Hardwyn India Limited,Industrials,Building Products & Equipment
623,HARIOMPIPE,Hariom Pipe Industries Limited,Basic Materials,Steel
624,HARRMALAYA,Harrisons Malayalam Limited,Consumer Defensive,Farm Products
625,HATHWAY,Hathway Cable and Datacom Limited,Communication Services,Entertainment
626,HATSUN,Hatsun Agro Product Limited,Consumer Defensive,Packaged Foods
627,HAVELLS,Havells India Limited,Industrials,Electrical Equipment & Parts
628,HAVISHA,Sri Havisha Hospitality and Infrastructure Limited,Consumer Cyclical,Lodging
629,HBLPOWER,HBL Power Systems Limited,Industrials,Electrical Equipment & Parts
630,HBSL,HB Stockholdings Limited,Financial Services,Capital Markets
631,HCC,Hindustan Construction Company Limited,Industrials,Engineering & Construction
632,HCG,HealthCare Global Enterprises Limited,Healthcare,Medical Care Facilities
633,HCL-INSYS,HCL Infosystems Limited,Technology,Electronics & Computer Distribution
634,HCLTECH,HCL Technologies Limited,Technology,Information Technology Services
635,HDFC,Housing Development Finance Corporation Limited,Financial Services,Mortgage Finance
636,HDFCAMC,HDFC Asset Management Company Limited,Financial Services,Asset Management
637,HDFCBANK,HDFC Bank Limited,Financial Services,Banks—Regional
638,HDFCLIFE,HDFC Life Insurance Company Limited,Financial Services,Insurance—Life
639,HDIL,Housing Development and Infrastructure Limited,Real Estate,Real Estate—Diversified
640,HEADSUP,Heads UP Ventures Limited,Consumer Cyclical,Apparel Retail
641,HECPROJECT,HEC Infra Projects Limited,Industrials,Engineering & Construction
642,HEG,HEG Limited,Industrials,Electrical Equipment & Parts
643,HEIDELBERG,HeidelbergCement India Limited,Basic Materials,Building Materials
644,HEMIPROP,Hemisphere Properties India Limited,Real Estate,Real Estate—Diversified
645,HERANBA,Heranba Industries Limited,Basic Materials,Agricultural Inputs
646,HERCULES,Hercules Hoists Limited,Industrials,Specialty Industrial Machinery
647,HERITGFOOD,Heritage Foods Limited,Consumer Defensive,Packaged Foods
648,HEROMOTOCO,Hero MotoCorp Limited,Consumer Cyclical,Auto Manufacturers
649,HESTERBIO,Hester Biosciences Limited,Healthcare,Drug Manufacturers—Specialty & Generic
650,HEXATRADEX,Hexa Tradex Limited,Financial Services,Credit Services
651,HFCL,HFCL Limited,Technology,Communication Equipment
652,HGINFRA,H.G. Infra Engineering Limited,Industrials,Engineering & Construction
653,HGS,Hinduja Global Solutions Limited,Industrials,Specialty Business Services
654,HIKAL,Hikal Limited,Healthcare,Drug Manufacturers—Specialty & Generic
655,HIL,HIL Limited,Industrials,Building Products & Equipment
656,HILTON,Hilton Metal Forging Limited,Industrials,Metal Fabrication
657,HIMATSEIDE,Himatsingka Seide Limited,Consumer Cyclical,Textile Manufacturing
658,HINDALCO,Hindalco Industries Limited,Basic Materials,Aluminum
659,HINDCOMPOS,Hindustan Composites Limited,Consumer Cyclical,Auto Parts
660,HINDCON,Hindcon Chemicals Limited,Basic Materials,Specialty Chemicals
661,HINDCOPPER,Hindustan Copper Limited,Basic Materials,Copper
662,HINDMOTORS,Hindustan Motors Limited,Consumer Cyclical,Auto Manufacturers
663,HINDOILEXP,Hindustan Oil Exploration Company Limited,Energy,Oil & Gas E&P
664,HINDPETRO,Hindustan Petroleum Corporation Limited,Energy,Oil & Gas Refining & Marketing
665,HINDUNILVR,Hindustan Unilever Limited,Consumer Defensive,Household & Personal Products
666,HINDWAREAP,Hindware Home Innovation Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
667,HINDZINC,Hindustan Zinc Limited,Basic Materials,Other Industrial Metals & Mining
668,HIRECT,Hind Rectifiers Limited,Industrials,Electrical Equipment & Parts
669,HISARMETAL,Hisar Metal Industries Limited,Basic Materials,Steel
670,HITECH,Hi-Tech Pipes Limited,Basic Materials,Steel
671,HITECHCORP,Hitech Corporation Limited,Consumer Cyclical,Packaging & Containers
672,HITECHGEAR,The Hi-Tech Gears Limited,Consumer Cyclical,Auto Parts
673,HLEGLAS,HLE Glascoat Limited,Industrials,Specialty Industrial Machinery
674,HLVLTD,HLV Limited,Consumer Cyclical,Lodging
675,HMT,HMT Limited,Industrials,Farm & Heavy Construction Machinery
676,HMVL,Hindustan Media Ventures Limited,Communication Services,Publishing
677,HNDFDS,Hindustan Foods Limited,Consumer Defensive,Packaged Foods
678,HOMEFIRST,Home First Finance Company India Limited,Financial Services,Mortgage Finance
679,HONAUT,Honeywell Automation India Limited,Industrials,Electrical Equipment & Parts
680,HONDAPOWER,Honda India Power Products Limited,Industrials,Specialty Industrial Machinery
681,HOVS,HOV Services Limited,Technology,Information Technology Services
682,HPAL,HP Adhesives Limited,Basic Materials,Specialty Chemicals
683,HPL,HPL Electric & Power Limited,Industrials,Electrical Equipment & Parts
684,HSCL,Himadri Speciality Chemical Limited,Basic Materials,Specialty Chemicals
685,HTMEDIA,HT Media Limited,Communication Services,Publishing
686,HUBTOWN,Hubtown Limited,Real Estate,Real Estate—Development
687,HUDCO,Housing and Urban Development Corporation Limited,Financial Services,Credit Services
688,HUHTAMAKI,Huhtamaki India Limited,Consumer Cyclical,Packaging & Containers
689,IBREALEST,Indiabulls Real Estate Limited,Real Estate,Real Estate—Development
690,IBULHSGFIN,Indiabulls Housing Finance Limited,Financial Services,Mortgage Finance
691,ICDSLTD,ICDS Limited,Real Estate,Real Estate Services
692,ICEMAKE,Ice Make Refrigeration Limited,Industrials,Specialty Industrial Machinery
693,ICICIBANK,ICICI Bank Limited,Financial Services,Banks—Regional
694,ICICIGI,ICICI Lombard General Insurance Company Limited,Financial Services,Insurance—Diversified
695,ICICIPRULI,ICICI Prudential Life Insurance Company Limited,Financial Services,Insurance—Life
696,ICIL,Indo Count Industries Limited,Consumer Cyclical,Textile Manufacturing
697,ICRA,ICRA Limited,Financial Services,Financial Data & Stock Exchanges
698,IDBI,IDBI Bank Limited,Financial Services,Banks—Regional
699,IDEA,Vodafone Idea Limited,Communication Services,Telecom Services
700,IDFC,IDFC Limited,Financial Services,Asset Management
701,IDFCFIRSTB,IDFC First Bank Limited,Financial Services,Banks—Regional
702,IEX,Indian Energy Exchange Limited,Financial Services,Capital Markets
703,IFBAGRO,IFB Agro Industries Limited,Consumer Defensive,Beverages—Wineries & Distilleries
704,IFBIND,IFB Industries Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
705,IFCI,IFCI Limited,Financial Services,Credit Services
706,IFGLEXPOR,IFGL Refractories Limited,Basic Materials,Building Materials
707,IGARASHI,Igarashi Motors India Limited,Consumer Cyclical,Auto Parts
708,IGL,Indraprastha Gas Limited,Utilities,Utilities—Regulated Gas
709,IGPL,I G Petrochemicals Limited,Basic Materials,Chemicals
710,IIFL,IIFL Finance Limited,Financial Services,Credit Services
711,IIFLSEC,IIFL Securities Limited,Financial Services,Capital Markets
712,IIFLWAM,IIFL Wealth Management Limited,Financial Services,Asset Management
713,IITL,Industrial Investment Trust Limited,Financial Services,Credit Services
714,IL&FSENGG,IL&FS Engineering and Construction Company Limited,Industrials,Engineering & Construction
715,IL&FSTRANS,IL&FS Transportation Networks Limited,Industrials,Infrastructure Operations
716,IMAGICAA,Imagicaaworld Entertainment Limited,Communication Services,Entertainment
717,IMFA,Indian Metals and Ferro Alloys Limited,Basic Materials,Steel
718,IMPAL,India Motor Parts & Accessories Limited,Consumer Cyclical,Auto Parts
719,IMPEXFERRO,Impex Ferro Tech Limited,Basic Materials,Other Industrial Metals & Mining
720,INCREDIBLE,Incredible Industries Limited,Basic Materials,Steel
721,INDBANK,Indbank Merchant Banking Services Limited,Financial Services,Capital Markets
722,INDHOTEL,The Indian Hotels Company Limited,Consumer Cyclical,Lodging
